,Name,Median Income,Zip Code,Percent Poverty,% HS Graduates,% College Graduates,Zip Perc White
0,ZCTA5 01001,60161,01001,7.1,91.5,28.0,91.8
1,ZCTA5 01002,50540,01002,14.7,95.6,68.0,78.4
2,ZCTA5 01005,68786,01005,2.6,95.7,24.0,97.3
3,ZCTA5 01007,76881,01007,8.5,92.4,42.0,94.9
4,ZCTA5 01010,87961,01010,0.0,94.0,41.6,100.0
5,ZCTA5 01011,68000,01011,9.8,91.8,17.8,96.2
6,ZCTA5 01012,57019,01012,18.2,96.2,41.0,98.7
7,ZCTA5 01013,40774,01013,24.9,81.0,16.0,84.2
8,ZCTA5 01020,55665,01020,12.4,87.1,17.4,88.1
9,ZCTA5 01022,51500,01022,0.0,95.4,27.5,75.7
10,ZCTA5 01027,58324,01027,5.4,94.8,33.4,91.3
11,ZCTA5 01028,81655,01028,8.9,94.5,41.2,91.6
12,ZCTA5 01030,63026,01030,12.5,93.8,29.1,96.1
13,ZCTA5 01031,39750,01031,29.5,90.4,20.7,94.4
14,ZCTA5 01033,87222,01033,2.6,93.5,34.1,99.2
15,ZCTA5 01035,65625,01035,7.9,96.1,46.4,95.3
16,ZCTA5 01036,81018,01036,4.7,94.7,37.9,99.1
17,ZCTA5 01038,66607,01038,4.9,98.3,38.6,96.1
18,ZCTA5 01040,36608,01040,38.4,77.3,23.4,82.1
19,ZCTA5 01050,62446,01050,9.5,92.3,18.5,94.0
20,ZCTA5 01053,59948,01053,22.3,90.4,41.1,91.7
21,ZCTA5 01054,83333,01054,9.4,94.9,62.5,93.2
22,ZCTA5 01056,63548,01056,5.3,83.9,20.8,93.8
23,ZCTA5 01057,68156,01057,6.9,91.7,27.7,97.3
24,ZCTA5 01060,51651,01060,11.3,95.4,60.3,85.7
25,ZCTA5 01062,67939,01062,17.5,93.7,56.9,89.1
26,ZCTA5 01068,80313,01068,6.4,93.1,37.5,98.6
27,ZCTA5 01069,54141,01069,7.7,89.8,24.5,98.6
28,ZCTA5 01071,73611,01071,2.8,93.7,29.9,96.2
29,ZCTA5 01072,69250,01072,6.5,95.3,62.9,96.6
30,ZCTA5 01073,79858,01073,4.7,92.7,29.8,96.5
31,ZCTA5 01075,60248,01075,8.4,92.3,39.3,89.5
32,ZCTA5 01077,80444,01077,9.3,90.3,33.5,96.1
33,ZCTA5 01081,50393,01081,9.0,92.6,18.5,98.1
34,ZCTA5 01082,49500,01082,18.3,91.1,21.6,96.1
35,ZCTA5 01083,41600,01083,9.1,90.7,15.0,99.6
36,ZCTA5 01085,61546,01085,10.7,91.4,32.7,90.6
37,ZCTA5 01089,54585,01089,10.6,88.5,29.6,85.2
38,ZCTA5 01092,56111,01092,47.3,89.6,24.9,99.8
39,ZCTA5 01093,82125,01093,0.0,93.9,59.0,99.0
40,ZCTA5 01095,90307,01095,1.0,94.0,43.4,93.8
41,ZCTA5 01096,70980,01096,7.6,93.9,38.5,97.9
42,ZCTA5 01098,72917,01098,5.7,89.5,37.6,95.6
43,ZCTA5 01103,15558,01103,83.7,63.0,20.3,53.7
44,ZCTA5 01104,28858,01104,36.2,74.6,12.5,57.6
45,ZCTA5 01105,16845,01105,62.5,60.3,8.4,37.7
46,ZCTA5 01106,109804,01106,5.3,95.7,65.7,91.1
47,ZCTA5 01107,22288,01107,55.7,53.5,9.3,53.7
48,ZCTA5 01108,35119,01108,38.9,76.6,20.6,58.1
49,ZCTA5 01109,33797,01109,40.3,77.9,14.2,36.4
50,ZCTA5 01118,59232,01118,18.5,89.4,29.4,76.2
51,ZCTA5 01119,47702,01119,21.8,81.8,20.5,63.9
52,ZCTA5 01128,69145,01128,3.6,93.1,26.6,78.8
53,ZCTA5 01129,60992,01129,17.6,87.0,23.8,73.7
54,ZCTA5 01151,33419,01151,46.9,80.8,15.3,65.2
55,ZCTA5 01201,44509,01201,24.8,89.8,26.4,87.9
56,ZCTA5 01220,46210,01220,11.5,89.6,22.2,97.4
57,ZCTA5 01223,66012,01223,8.8,92.5,33.3,96.8
58,ZCTA5 01225,55750,01225,4.6,93.9,17.7,99.1
59,ZCTA5 01226,47324,01226,18.5,96.0,29.6,97.0
60,ZCTA5 01230,56933,01230,17.4,90.5,42.3,87.1
61,ZCTA5 01235,63182,01235,9.6,92.2,29.4,96.9
62,ZCTA5 01237,73659,01237,0.5,92.7,31.7,97.3
63,ZCTA5 01238,59921,01238,7.0,91.3,39.1,96.1
64,ZCTA5 01240,49149,01240,21.6,94.6,49.9,94.6
65,ZCTA5 01247,40465,01247,23.1,85.9,23.1,94.4
66,ZCTA5 01253,68846,01253,5.0,91.9,28.6,98.3
67,ZCTA5 01254,86944,01254,5.7,96.2,51.1,94.9
68,ZCTA5 01256,53036,01256,19.1,87.1,16.5,91.2
69,ZCTA5 01257,47167,01257,27.6,90.5,33.2,97.5
70,ZCTA5 01267,73112,01267,10.8,93.1,60.6,85.2
71,ZCTA5 01301,49778,01301,16.3,91.5,31.1,92.4
72,ZCTA5 01330,75417,01330,9.8,97.6,46.7,96.2
73,ZCTA5 01331,51849,01331,17.1,87.4,17.0,95.1
74,ZCTA5 01337,62965,01337,7.3,93.9,29.1,97.4
75,ZCTA5 01339,54938,01339,11.2,92.5,32.3,97.2
76,ZCTA5 01340,50250,01340,12.1,90.4,26.5,95.2
77,ZCTA5 01341,77778,01341,3.6,98.5,55.1,97.7
78,ZCTA5 01344,58125,01344,13.1,94.1,17.6,94.4
79,ZCTA5 01351,73051,01351,14.0,96.9,35.6,96.1
80,ZCTA5 01354,73750,01354,5.0,96.2,46.3,92.0
81,ZCTA5 01355,65682,01355,2.0,97.5,41.1,99.2
82,ZCTA5 01360,63491,01360,2.5,94.8,36.7,97.0
83,ZCTA5 01364,39273,01364,12.6,86.6,15.1,97.1
84,ZCTA5 01366,63625,01366,2.7,97.9,39.6,96.1
85,ZCTA5 01367,52875,01367,18.8,88.9,27.8,97.6
86,ZCTA5 01368,57841,01368,18.2,88.5,15.0,98.1
87,ZCTA5 01370,55076,01370,8.8,93.2,38.0,97.5
88,ZCTA5 01373,67561,01373,5.5,96.5,39.1,96.9
89,ZCTA5 01375,47688,01375,4.4,92.7,61.2,84.9
90,ZCTA5 01376,41864,01376,30.0,83.6,24.3,86.8
91,ZCTA5 01378,55625,01378,21.7,90.7,34.3,96.8
92,ZCTA5 01420,48724,01420,25.1,82.2,20.7,79.6
93,ZCTA5 01430,87615,01430,3.9,96.1,41.3,96.8
94,ZCTA5 01431,82019,01431,7.5,92.8,24.3,97.6
95,ZCTA5 01432,72048,01432,24.2,94.5,36.3,88.4
96,ZCTA5 01434,77014,01434,0.0,90.8,25.9,68.0
97,ZCTA5 01436,66113,01436,13.0,87.7,16.1,98.8
98,ZCTA5 01440,43818,01440,26.8,84.3,16.4,90.0
99,ZCTA5 01450,116642,01450,1.7,98.9,66.7,92.8
100,ZCTA5 01451,126667,01451,8.1,98.7,75.5,89.0
101,ZCTA5 01452,81757,01452,6.2,94.3,27.8,96.2
102,ZCTA5 01453,58946,01453,15.8,86.5,27.0,83.1
103,ZCTA5 01460,111680,01460,4.4,98.3,58.8,91.8
104,ZCTA5 01462,80572,01462,15.0,92.3,35.3,93.0
105,ZCTA5 01463,80524,01463,4.1,94.0,36.8,95.3
106,ZCTA5 01464,67896,01464,21.1,86.3,23.9,68.9
107,ZCTA5 01469,79315,01469,1.1,96.7,32.1,95.3
108,ZCTA5 01473,88902,01473,2.4,93.8,42.7,98.1
109,ZCTA5 01475,59661,01475,10.2,88.8,19.8,94.7
110,ZCTA5 01501,73070,01501,1.9,92.8,36.4,95.2
111,ZCTA5 01503,88816,01503,5.6,94.5,48.6,96.9
112,ZCTA5 01504,73679,01504,5.1,91.2,27.6,93.7
113,ZCTA5 01505,102905,01505,0.0,94.8,53.5,94.0
114,ZCTA5 01506,63920,01506,8.5,90.4,31.1,94.0
115,ZCTA5 01507,87294,01507,5.9,94.6,31.9,97.3
116,ZCTA5 01510,62805,01510,9.9,90.4,33.9,89.5
117,ZCTA5 01515,72375,01515,5.5,93.4,29.9,98.0
118,ZCTA5 01516,84985,01516,2.9,96.3,36.5,97.4
119,ZCTA5 01518,54222,01518,3.8,96.7,46.2,98.0
120,ZCTA5 01519,108879,01519,3.3,96.7,56.0,91.5
121,ZCTA5 01520,97650,01520,2.2,95.0,52.1,95.1
122,ZCTA5 01521,75000,01521,4.8,93.8,32.1,97.1
123,ZCTA5 01522,101227,01522,0.0,98.4,50.2,95.6
124,ZCTA5 01523,98918,01523,16.0,89.7,34.3,87.5
125,ZCTA5 01524,62736,01524,3.5,90.0,27.4,96.8
126,ZCTA5 01527,71151,01527,9.1,91.0,31.7,93.4
127,ZCTA5 01529,81438,01529,9.2,87.4,25.9,93.5
128,ZCTA5 01531,80000,01531,2.2,93.9,35.6,98.7
129,ZCTA5 01532,107797,01532,3.1,95.9,53.4,86.0
130,ZCTA5 01535,68232,01535,9.2,92.7,25.8,97.6
131,ZCTA5 01536,83917,01536,4.8,95.3,47.5,87.6
132,ZCTA5 01540,65366,01540,11.2,94.4,28.2,94.2
133,ZCTA5 01541,114167,01541,4.4,99.2,61.0,92.4
134,ZCTA5 01543,94028,01543,1.2,98.9,44.3,96.8
135,ZCTA5 01545,94273,01545,4.4,94.6,54.3,76.7
136,ZCTA5 01550,43870,01550,23.0,81.2,16.3,75.2
137,ZCTA5 01560,71797,01560,5.8,93.2,47.2,71.3
138,ZCTA5 01562,62901,01562,13.4,88.5,24.4,95.1
139,ZCTA5 01564,87039,01564,5.9,94.7,46.6,96.1
140,ZCTA5 01566,94167,01566,0.0,94.7,44.7,96.3
141,ZCTA5 01568,111222,01568,3.7,96.1,46.2,93.2
142,ZCTA5 01569,90313,01569,5.8,96.2,35.2,93.5
143,ZCTA5 01570,48057,01570,24.3,83.6,22.4,87.3
144,ZCTA5 01571,66339,01571,14.9,91.0,29.9,94.8
145,ZCTA5 01581,101467,01581,3.8,96.2,64.3,72.0
146,ZCTA5 01583,68648,01583,7.2,89.6,33.0,87.5
147,ZCTA5 01585,61029,01585,8.1,91.4,29.5,96.4
148,ZCTA5 01588,65926,01588,9.8,91.1,30.3,92.5
149,ZCTA5 01590,108547,01590,3.0,95.0,42.7,95.6
150,ZCTA5 01602,59770,01602,12.9,91.0,45.6,80.7
151,ZCTA5 01603,43329,01603,27.7,79.3,20.6,71.8
152,ZCTA5 01604,48212,01604,27.7,87.3,27.1,72.2
153,ZCTA5 01605,36429,01605,38.8,82.6,26.1,60.4
154,ZCTA5 01606,63646,01606,10.0,92.7,37.4,79.5
155,ZCTA5 01607,45170,01607,21.5,85.1,28.6,66.1
156,ZCTA5 01609,43729,01609,25.6,80.7,39.8,76.3
157,ZCTA5 01610,31019,01610,35.9,73.0,14.0,61.6
158,ZCTA5 01612,92500,01612,2.6,95.6,51.7,88.4
159,ZCTA5 01701,91430,01701,7.0,95.8,57.2,83.7
160,ZCTA5 01702,51985,01702,19.1,82.7,37.4,66.2
161,ZCTA5 01719,102699,01719,4.7,99.7,76.4,78.4
162,ZCTA5 01720,124836,01720,1.0,97.4,75.7,74.8
163,ZCTA5 01721,102911,01721,3.6,96.1,59.2,86.2
164,ZCTA5 01730,113729,01730,1.9,97.6,66.8,81.5
165,ZCTA5 01731,81667,01731,5.8,99.8,54.4,82.1
166,ZCTA5 01740,147446,01740,1.1,97.1,65.8,94.1
167,ZCTA5 01741,166111,01741,2.8,98.6,83.3,86.7
168,ZCTA5 01742,133880,01742,5.9,94.0,68.1,86.3
169,ZCTA5 01746,108869,01746,5.5,97.0,60.0,92.4
170,ZCTA5 01747,95268,01747,1.3,91.9,40.2,94.5
171,ZCTA5 01748,138551,01748,1.3,97.8,65.6,92.6
172,ZCTA5 01749,75985,01749,6.0,90.5,36.5,91.9
173,ZCTA5 01752,71790,01752,8.2,89.1,37.9,78.4
174,ZCTA5 01754,88333,01754,7.5,95.5,49.8,87.5
175,ZCTA5 01756,108942,01756,2.3,95.8,47.5,95.6
176,ZCTA5 01757,70162,01757,13.8,91.9,35.7,85.5
177,ZCTA5 01760,100922,01760,1.6,97.3,69.1,85.7
178,ZCTA5 01770,155956,01770,1.4,98.6,81.6,94.7
179,ZCTA5 01772,145179,01772,3.3,97.5,70.8,85.5
180,ZCTA5 01773,153438,01773,0.0,97.4,82.3,82.6
181,ZCTA5 01775,137551,01775,2.5,99.3,65.1,94.5
182,ZCTA5 01776,165745,01776,1.5,98.6,78.7,87.6
183,ZCTA5 01778,143616,01778,3.3,98.5,82.1,86.2
184,ZCTA5 01801,80266,01801,8.6,94.0,37.4,84.8
185,ZCTA5 01803,94518,01803,6.7,93.9,47.1,80.7
186,ZCTA5 01810,129082,01810,3.6,97.5,71.9,81.7
187,ZCTA5 01821,93307,01821,5.4,93.7,32.0,91.8
188,ZCTA5 01824,105010,01824,2.1,96.4,52.5,89.3
189,ZCTA5 01826,78133,01826,3.2,91.1,24.9,88.7
190,ZCTA5 01827,118523,01827,1.4,97.5,56.0,93.9
191,ZCTA5 01830,56074,01830,22.7,85.6,26.3,83.6
192,ZCTA5 01832,58850,01832,13.2,86.9,27.5,80.2
193,ZCTA5 01833,107683,01833,1.0,96.9,48.2,96.7
194,ZCTA5 01834,95208,01834,3.8,96.1,34.0,97.7
195,ZCTA5 01835,72568,01835,8.8,95.8,35.5,90.5
196,ZCTA5 01840,18291,01840,36.1,60.6,12.4,39.3
197,ZCTA5 01841,32928,01841,34.9,66.0,8.9,39.5
198,ZCTA5 01843,43301,01843,31.0,74.6,15.5,44.0
199,ZCTA5 01844,71392,01844,11.4,88.7,28.9,79.4
200,ZCTA5 01845,100286,01845,6.0,96.5,58.5,88.9
201,ZCTA5 01850,48979,01850,23.1,83.4,19.8,66.4
202,ZCTA5 01851,50108,01851,18.9,74.1,20.2,45.0
203,ZCTA5 01852,48420,01852,24.4,81.2,26.0,65.8
204,ZCTA5 01854,41640,01854,22.5,78.7,19.5,56.9
205,ZCTA5 01860,73986,01860,8.6,96.9,44.9,99.8
206,ZCTA5 01862,103219,01862,4.0,90.7,30.8,88.4
207,ZCTA5 01863,75687,01863,1.3,95.2,45.1,88.1
208,ZCTA5 01864,123103,01864,1.3,96.9,51.0,89.2
209,ZCTA5 01867,108282,01867,1.8,96.7,58.0,92.2
210,ZCTA5 01876,90477,01876,4.9,94.0,32.5,94.6
211,ZCTA5 01879,106290,01879,7.8,95.4,44.5,92.5
212,ZCTA5 01880,86210,01880,1.3,93.7,46.9,92.7
213,ZCTA5 01886,121591,01886,2.4,97.4,67.7,83.0
