,Name,Median Income,Zip Code,Percent Poverty,% HS Graduates,% College Graduates,Zip Perc White
214,ZCTA5 01887,100862,01887,5.0,95.4,37.1,91.7
215,ZCTA5 01890,143017,01890,2.2,97.3,72.1,84.9
216,ZCTA5 01902,38045,01902,28.3,76.1,17.3,40.9
217,ZCTA5 01904,84932,01904,6.3,92.6,29.7,81.3
218,ZCTA5 01905,50903,01905,27.5,77.9,15.1,43.4
219,ZCTA5 01906,77371,01906,6.2,90.1,24.9,91.7
220,ZCTA5 01907,98475,01907,6.6,95.4,55.7,95.6
221,ZCTA5 01908,65284,01908,2.0,97.1,49.2,95.2
222,ZCTA5 01913,76558,01913,4.5,93.6,42.8,95.4
223,ZCTA5 01915,72837,01915,8.2,94.1,45.8,94.4
224,ZCTA5 01921,140268,01921,6.4,97.8,61.6,95.8
225,ZCTA5 01922,87412,01922,0.0,97.9,58.9,95.0
226,ZCTA5 01923,77949,01923,4.3,94.4,41.3,94.0
227,ZCTA5 01929,92396,01929,7.0,97.1,51.1,97.3
228,ZCTA5 01930,61505,01930,11.0,88.7,34.4,95.5
229,ZCTA5 01937,-,01937,-,73.9,20.1,94.8
230,ZCTA5 01938,76458,01938,4.9,96.4,49.9,97.5
231,ZCTA5 01940,111911,01940,1.8,96.9,50.9,92.2
232,ZCTA5 01944,95243,01944,2.4,96.4,60.6,97.5
233,ZCTA5 01945,102993,01945,3.1,97.8,68.3,96.1
234,ZCTA5 01949,108622,01949,4.6,91.2,37.2,84.5
235,ZCTA5 01950,85556,01950,8.1,97.1,59.9,95.8
236,ZCTA5 01951,91304,01951,6.0,95.6,60.8,97.5
237,ZCTA5 01952,69500,01952,9.0,89.8,29.1,95.6
238,ZCTA5 01960,60469,01960,10.5,90.3,29.1,88.7
239,ZCTA5 01966,64839,01966,3.8,97.1,47.9,97.7
240,ZCTA5 01969,86820,01969,2.5,95.5,37.4,97.7
241,ZCTA5 01970,60583,01970,19.0,91.0,38.1,78.6
242,ZCTA5 01982,109500,01982,9.6,97.3,66.1,90.1
243,ZCTA5 01983,114565,01983,5.2,96.0,59.0,95.5
244,ZCTA5 01984,109250,01984,2.7,97.9,67.5,94.0
245,ZCTA5 01985,131167,01985,9.6,97.5,57.6,98.4
246,ZCTA5 02019,88460,02019,2.5,93.6,28.2,94.2
247,ZCTA5 02021,95045,02021,6.8,96.9,54.2,84.2
248,ZCTA5 02025,113843,02025,7.3,96.6,67.7,98.2
249,ZCTA5 02026,83438,02026,4.3,94.1,47.1,84.3
250,ZCTA5 02030,185542,02030,0.0,99.0,84.5,87.3
251,ZCTA5 02032,92500,02032,7.2,94.0,47.2,84.2
252,ZCTA5 02035,88766,02035,3.7,94.7,47.4,93.2
253,ZCTA5 02038,108272,02038,3.6,96.2,54.2,93.0
254,ZCTA5 02043,116187,02043,5.7,97.8,67.6,95.6
255,ZCTA5 02045,74391,02045,6.3,95.9,41.9,94.9
256,ZCTA5 02048,93019,02048,2.1,96.8,52.5,89.8
257,ZCTA5 02050,82986,02050,6.7,96.0,45.5,95.3
258,ZCTA5 02052,138036,02052,4.2,98.1,69.4,93.2
259,ZCTA5 02053,110241,02053,2.5,95.8,54.1,93.3
260,ZCTA5 02054,92042,02054,8.3,97.8,48.9,95.3
261,ZCTA5 02056,141278,02056,4.6,91.1,51.5,89.3
262,ZCTA5 02061,111628,02061,2.2,96.3,58.7,96.8
263,ZCTA5 02062,80532,02062,9.5,94.4,43.8,85.1
264,ZCTA5 02066,104337,02066,2.0,97.5,56.7,96.5
265,ZCTA5 02067,124217,02067,2.2,98.0,73.4,78.6
266,ZCTA5 02072,76179,02072,11.0,90.0,34.8,79.4
267,ZCTA5 02081,97753,02081,0.7,94.2,53.1,93.3
268,ZCTA5 02090,135884,02090,1.3,97.2,69.2,91.8
269,ZCTA5 02093,102659,02093,3.5,96.6,49.5,98.6
270,ZCTA5 02111,51480,02111,10.5,75.8,53.0,44.7
271,ZCTA5 02113,76503,02113,0.0,94.0,77.5,94.3
272,ZCTA5 02115,31737,02115,40.2,90.3,63.6,68.5
273,ZCTA5 02116,93059,02116,10.6,92.5,76.4,76.3
274,ZCTA5 02118,62300,02118,26.0,83.5,57.1,53.2
275,ZCTA5 02119,28885,02119,37.5,76.3,24.0,15.1
276,ZCTA5 02120,30487,02120,43.2,84.3,41.4,46.5
277,ZCTA5 02121,26150,02121,40.9,74.4,13.4,9.0
278,ZCTA5 02122,52122,02122,20.8,76.8,22.1,34.6
279,ZCTA5 02124,48350,02124,26.0,80.6,23.5,21.9
280,ZCTA5 02125,48123,02125,34.5,79.6,33.4,34.4
281,ZCTA5 02126,45958,02126,27.9,79.8,15.6,8.3
282,ZCTA5 02127,77633,02127,37.2,89.5,56.5,81.5
283,ZCTA5 02128,51097,02128,26.5,67.8,20.5,62.7
284,ZCTA5 02129,87381,02129,39.8,91.0,62.0,73.9
285,ZCTA5 02130,77480,02130,19.3,91.9,64.2,64.5
286,ZCTA5 02131,64178,02131,20.8,88.8,41.2,59.9
287,ZCTA5 02132,87983,02132,5.2,93.9,53.7,83.8
288,ZCTA5 02134,44000,02134,15.0,88.6,57.5,63.5
289,ZCTA5 02135,50752,02135,20.9,91.1,61.9,73.0
290,ZCTA5 02136,61391,02136,16.8,88.0,25.1,35.3
291,ZCTA5 02138,79540,02138,5.7,97.7,83.6,72.7
292,ZCTA5 02139,78649,02139,16.8,93.2,73.4,65.7
293,ZCTA5 02140,84163,02140,16.1,93.3,69.5,64.4
294,ZCTA5 02141,70828,02141,15.4,90.4,65.4,66.1
295,ZCTA5 02143,73117,02143,14.4,90.3,64.5,77.2
296,ZCTA5 02144,87169,02144,20.1,93.8,69.6,81.8
297,ZCTA5 02145,58665,02145,18.1,83.5,36.8,67.0
298,ZCTA5 02148,54883,02148,17.1,85.9,32.8,54.1
299,ZCTA5 02149,50718,02149,17.8,79.8,16.8,63.7
300,ZCTA5 02150,47811,02150,26.1,65.4,16.9,51.6
301,ZCTA5 02151,50865,02151,20.3,82.2,19.5,76.1
302,ZCTA5 02152,61919,02152,11.2,94.8,34.8,93.8
303,ZCTA5 02155,76596,02155,10.5,91.5,44.8,78.9
304,ZCTA5 02169,61619,02169,13.1,89.9,39.2,68.5
305,ZCTA5 02170,70248,02170,7.4,85.5,39.7,62.8
306,ZCTA5 02171,71743,02171,10.6,88.4,45.0,57.1
307,ZCTA5 02176,85521,02176,3.5,94.3,53.0,91.8
308,ZCTA5 02180,78099,02180,4.4,93.6,40.0,93.0
309,ZCTA5 02184,84776,02184,7.6,93.9,38.5,84.1
310,ZCTA5 02186,116444,02186,1.7,96.9,61.9,75.4
311,ZCTA5 02188,71620,02188,6.8,94.0,33.3,81.9
312,ZCTA5 02189,56706,02189,17.1,91.5,30.2,82.8
313,ZCTA5 02190,77843,02190,3.6,94.2,34.3,89.1
314,ZCTA5 02191,65413,02191,2.5,93.6,32.4,95.3
315,ZCTA5 02215,40269,02215,57.7,95.8,78.5,68.7
316,ZCTA5 02301,43093,02301,29.2,79.6,17.6,41.5
317,ZCTA5 02302,58750,02302,15.0,83.2,18.0,53.3
318,ZCTA5 02322,76065,02322,1.6,88.6,25.9,77.1
319,ZCTA5 02324,84697,02324,7.3,92.1,33.0,86.5
320,ZCTA5 02330,74375,02330,3.5,89.5,21.0,94.8
321,ZCTA5 02332,120267,02332,4.3,98.4,65.3,97.4
322,ZCTA5 02333,84118,02333,3.3,94.9,25.3,96.4
323,ZCTA5 02338,64013,02338,0.0,97.2,25.1,97.1
324,ZCTA5 02339,101823,02339,4.3,95.9,49.7,96.7
325,ZCTA5 02341,91384,02341,2.9,95.0,31.1,94.6
326,ZCTA5 02343,66370,02343,11.2,96.5,27.0,87.5
327,ZCTA5 02346,76500,02346,12.3,94.3,29.7,94.3
328,ZCTA5 02347,90876,02347,3.5,93.0,33.6,97.4
329,ZCTA5 02351,80148,02351,1.9,96.3,31.3,92.6
330,ZCTA5 02356,103556,02356,4.5,97.1,52.5,93.6
331,ZCTA5 02359,90790,02359,4.3,94.6,32.7,95.2
332,ZCTA5 02360,76835,02360,7.4,95.1,35.1,93.1
333,ZCTA5 02364,85384,02364,3.6,93.9,39.2,96.0
334,ZCTA5 02367,90648,02367,6.1,94.1,30.7,97.7
335,ZCTA5 02368,63681,02368,16.4,86.9,30.5,40.4
336,ZCTA5 02370,69247,02370,6.8,94.4,24.6,92.9
337,ZCTA5 02375,88090,02375,4.5,96.1,43.0,87.4
338,ZCTA5 02379,81119,02379,4.2,92.5,31.4,92.0
339,ZCTA5 02382,72490,02382,6.3,92.8,27.0,95.6
340,ZCTA5 02420,151607,02420,2.7,97.5,76.1,71.0
341,ZCTA5 02421,147335,02421,3.9,96.6,78.6,72.2
342,ZCTA5 02445,92622,02445,8.4,97.2,77.0,75.0
343,ZCTA5 02446,86910,02446,7.7,96.1,83.1,77.2
344,ZCTA5 02451,82532,02451,11.8,92.8,49.2,73.5
345,ZCTA5 02452,79274,02452,4.8,91.3,51.3,75.6
346,ZCTA5 02453,70597,02453,13.0,87.5,47.2,76.1
347,ZCTA5 02458,92300,02458,2.5,96.1,71.2,77.3
348,ZCTA5 02459,135426,02459,7.1,98.9,84.8,77.1
349,ZCTA5 02460,114750,02460,5.3,96.9,72.3,81.4
350,ZCTA5 02461,140733,02461,8.8,97.8,83.9,73.2
351,ZCTA5 02465,130032,02465,2.3,96.8,70.1,78.7
352,ZCTA5 02466,105678,02466,7.5,95.7,73.1,75.8
353,ZCTA5 02467,109399,02467,2.8,98.0,78.0,76.3
354,ZCTA5 02468,196250,02468,1.8,98.8,84.4,79.6
355,ZCTA5 02472,87409,02472,9.8,94.0,59.6,84.8
356,ZCTA5 02474,93904,02474,1.7,95.2,66.9,83.1
357,ZCTA5 02476,93011,02476,2.7,97.0,68.6,86.1
358,ZCTA5 02478,110685,02478,5.0,97.0,73.3,82.9
359,ZCTA5 02481,176920,02481,3.5,98.6,85.2,82.9
360,ZCTA5 02482,156094,02482,0.9,97.7,81.3,84.9
361,ZCTA5 02492,140734,02492,3.0,97.8,76.3,90.1
362,ZCTA5 02493,199519,02493,2.6,98.5,83.0,82.0
363,ZCTA5 02494,116375,02494,3.5,98.2,72.2,81.9
364,ZCTA5 02532,67647,02532,18.6,94.7,34.0,93.6
365,ZCTA5 02535,76125,02535,17.4,96.9,54.4,78.0
366,ZCTA5 02536,66484,02536,11.7,92.8,35.4,86.9
367,ZCTA5 02537,92639,02537,12.7,97.7,49.4,97.0
368,ZCTA5 02539,60714,02539,1.9,81.2,25.8,94.8
369,ZCTA5 02540,61618,02540,7.5,95.7,51.3,91.2
370,ZCTA5 02554,84479,02554,8.7,94.8,44.0,85.7
371,ZCTA5 02556,84800,02556,6.3,93.7,51.4,95.1
372,ZCTA5 02557,75242,02557,16.2,97.3,44.2,94.5
373,ZCTA5 02568,42180,02568,24.1,96.7,40.1,90.2
374,ZCTA5 02571,54221,02571,24.9,90.1,23.3,82.6
375,ZCTA5 02575,75000,02575,6.1,98.9,49.7,97.8
376,ZCTA5 02576,81875,02576,8.2,90.6,17.3,85.6
377,ZCTA5 02601,40210,02601,24.3,88.5,20.7,79.2
378,ZCTA5 02631,66362,02631,7.4,98.2,50.4,97.6
379,ZCTA5 02632,64278,02632,10.7,96.6,39.3,95.1
380,ZCTA5 02633,60268,02633,14.7,96.6,50.4,92.0
381,ZCTA5 02642,60524,02642,6.8,95.8,45.7,96.5
382,ZCTA5 02644,90912,02644,4.3,98.7,30.2,99.7
383,ZCTA5 02645,72556,02645,4.5,91.6,39.8,93.8
384,ZCTA5 02648,75238,02648,5.7,96.9,42.0,95.2
385,ZCTA5 02649,70313,02649,8.9,94.8,36.2,87.9
386,ZCTA5 02651,-,02651,-,100.0,100.0,100.0
387,ZCTA5 02653,62313,02653,10.1,99.0,50.3,98.5
388,ZCTA5 02657,36958,02657,12.7,92.4,50.2,85.9
389,ZCTA5 02660,52088,02660,8.9,94.4,34.1,91.7
390,ZCTA5 02664,51607,02664,7.0,93.3,31.0,93.8
391,ZCTA5 02666,61327,02666,64.3,93.5,50.1,98.5
392,ZCTA5 02667,45045,02667,23.6,95.4,52.5,95.5
393,ZCTA5 02668,94331,02668,4.1,96.1,45.3,98.1
394,ZCTA5 02670,51154,02670,50.0,97.7,41.1,96.8
395,ZCTA5 02673,61979,02673,5.0,91.9,26.1,90.8
396,ZCTA5 02703,67736,02703,10.2,88.3,31.1,87.9
397,ZCTA5 02713,36250,02713,-,100.0,53.4,100.0
398,ZCTA5 02715,77292,02715,3.5,92.5,33.2,94.3
399,ZCTA5 02717,81061,02717,3.2,89.6,22.5,94.5
400,ZCTA5 02718,86343,02718,1.1,85.1,25.1,95.8
401,ZCTA5 02719,61274,02719,12.4,85.6,26.0,92.8
402,ZCTA5 02720,44397,02720,24.9,78.9,20.0,86.6
403,ZCTA5 02721,29684,02721,36.2,67.6,9.6,83.6
404,ZCTA5 02723,32275,02723,39.8,68.6,9.9,78.5
405,ZCTA5 02724,30688,02724,34.3,65.3,11.1,83.8
406,ZCTA5 02726,72585,02726,10.4,86.1,26.8,97.0
407,ZCTA5 02738,76503,02738,2.7,93.9,50.3,91.8
408,ZCTA5 02739,86659,02739,5.5,95.5,47.9,96.7
409,ZCTA5 02740,35887,02740,28.6,73.5,17.9,65.5
410,ZCTA5 02743,67263,02743,2.2,83.0,23.1,94.6
411,ZCTA5 02744,31709,02744,28.6,64.2,14.5,72.8
412,ZCTA5 02745,51328,02745,12.6,77.1,17.9,89.7
413,ZCTA5 02746,26705,02746,52.2,60.7,7.6,59.4
414,ZCTA5 02747,70919,02747,7.9,80.6,25.5,88.2
415,ZCTA5 02748,64625,02748,6.2,81.7,34.7,91.7
416,ZCTA5 02760,80957,02760,5.9,94.7,40.4,90.8
417,ZCTA5 02762,91009,02762,3.8,95.4,42.4,93.6
418,ZCTA5 02764,78870,02764,0.0,93.9,24.1,99.1
419,ZCTA5 02766,91438,02766,2.8,94.7,36.6,95.0
420,ZCTA5 02767,83125,02767,9.7,93.5,35.1,86.9
421,ZCTA5 02769,88868,02769,2.7,93.5,37.4,97.2
422,ZCTA5 02770,97157,02770,4.3,93.2,40.7,91.8
423,ZCTA5 02771,76826,02771,7.6,91.9,32.9,96.1
424,ZCTA5 02777,73310,02777,9.3,88.7,23.8,98.0
425,ZCTA5 02779,86288,02779,1.1,88.1,28.0,97.8
426,ZCTA5 02780,50653,02780,15.3,81.7,17.9,87.3
427,ZCTA5 02790,79697,02790,2.3,85.7,30.2,98.1
