2810190,"300 White Street, Springfield, MA, 01108",Match,Exact,"300 WHITE ST, SPRINGFIELD, MA, 01108","-72.552826,42.09023",4036415,R
350485,"205 Roxbury Street, Roxbury, MA, 02119",Match,Exact,"205 ROXBURY ST, ROXBURY, MA, 02119","-71.09139,42.330055",85718172,R
4200205,"21 Notre Dame Avenue, Cambridge, MA, 02140",Match,Exact,"21 NOTRE DAME AVE, CAMBRIDGE, MA, 02140","-71.13098,42.39179",86892196,R
2810510,"415 State Street, Springfield, MA, 01105",Match,Exact,"415 STATE ST, SPRINGFIELD, MA, 01105","-72.57994,42.10636",4068144,R
350074,"60 Washington St, Dorchester, MA, 02121",Match,Exact,"60 WASHINGTON ST, DORCHESTER, MA, 02121","-71.082146,42.306896",85701557,L
350581,"11 Charles Street, Dorchester, MA, 02122",Match,Exact,"11 CHARLES ST, DORCHESTER, MA, 02122","-71.06133,42.30061",85722119,R
2810195,"200 Birnie Avenue, Springfield, MA, 01107",Match,Exact,"200 BIRNIE AVE, SPRINGFIELD, MA, 01107","-72.6114,42.124073",4068113,L
350072,"302 Walnut Avenue, Roxbury, MA, 02119",Match,Exact,"302 WALNUT AVE, ROXBURY, MA, 02119","-71.09319,42.31651",85699957,L
4360305,"245 Bent Street, Cambridge, MA, 02141",Match,Exact,"245 BENT ST, CAMBRIDGE, MA, 02141","-71.084625,42.367443",86871105,R
2810325,"46 Oakland Street, Springfield, MA, 01108",Match,Exact,"46 OAKLAND ST, SPRINGFIELD, MA, 01108","-72.56362,42.085938",4036109,L
350690,"150 Newbury Street, Boston, MA, 02116",Match,Exact,"150 NEWBURY ST, BOSTON, MA, 02116","-71.07792,42.350838",85697636,L
1490053,"255 E Haverhill Street, Lawrence, MA, 01841",Match,Exact,"255 E HAVERHILL ST, LAWRENCE, MA, 01841","-71.144775,42.71824",86681898,R
2810025,"471 Plainfield Street, Springfield, MA, 01107",Match,Exact,"471 PLAINFIELD ST, SPRINGFIELD, MA, 01107","-72.615234,42.119564",4032813,R
350505,"25 Warren Street, Brighton, MA, 02135",Match,Exact,"25 WARREN ST, BRIGHTON, MA, 02135","-71.14561,42.34992",645437635,R
1490011,"526 Lowell Street, Lawrence, MA, 01841",Match,Exact,"526 LOWELL ST, LAWRENCE, MA, 01841","-71.18334,42.700867",86625951,L
2810023,"22 Mulberry Street, Springfield, MA, 01105",Match,Exact,"22 MULBERRY ST, SPRINGFIELD, MA, 01105","-72.57981,42.100887",4035226,L
350507,"100 Maxwell St, Dorchester, MA, 02124",Match,Exact,"100 MAXWELL ST, DORCHESTER, MA, 02124","-71.080376,42.281708",85705753,L
4400205,"190 Hampshire Street, Lawrence, MA, 01840",Match,Exact,"190 HAMPSHIRE ST, LAWRENCE, MA, 01840","-71.167625,42.70982",86625410,L
4920005,"285 Dorset Street, Springfield, MA, 01108",Match,Exact,"285 DORSET ST, SPRINGFIELD, MA, 01108","-72.53707,42.08321",4039141,L
1490015,"135 Butler Street, Lawrence, MA, 01841",Match,Exact,"135 BUTLER ST, LAWRENCE, MA, 01841","-71.18025,42.702953",86625273,R
2810120,"732 Chestnut Street, Springfield, MA, 01107",Match,Exact,"732 CHESTNUT ST, SPRINGFIELD, MA, 01107","-72.60508,42.120342",4032954,L
1630060,"1 Collins Street Terrace, Lynn, MA, 01902",Match,Exact,"1 COLLINS STREET TER, LYNN, MA, 01902","-70.9376,42.472027",86645374,L
350257,"906 Albany Street, Roxbury, MA, 02119",Match,Exact,"906 ALBANY ST, ROXBURY, MA, 02119","-71.078064,42.330524",85700333,L
1370605,"1045 Main Street, Holyoke, MA, 01040",Match,Exact,"1045 MAIN ST, HOLYOKE, MA, 01040","-72.626724,42.184185",4020917,R
4690505,"1001 Commonwealth Avenue, Boston, MA, 02215",Match,Exact,"1001 COMMONWEALTH AVE, BOSTON, MA, 02215","-71.12106,42.351852",85695878,R
1490017,"150 Arlington Street, Lawrence, MA, 01841",Match,Exact,"150 ARLINGTON ST, LAWRENCE, MA, 01841","-71.175285,42.717445",86625030,L
350579,"1205 V.F.W. Parkway, West Roxbury, MA, 02132",Match,Non_Exact,"1205 VFW PKWY, WEST ROXBURY, MA, 02132","-71.17303,42.2854",85736224,R
1370040,"216 West Street, Holyoke, MA, 01040",Match,Exact,"216 WEST ST, HOLYOKE, MA, 01040","-72.60086,42.20262",4018411,L
4380505,"637 Washington Street, Dorchester, MA, 02124",Match,Exact,"637 WASHINGTON ST, DORCHESTER, MA, 02124","-71.071365,42.289474",85705997,R
35050405,"35 Westville Street, Boston, MA, 02124",Match,Exact,"35 WESTVILLE ST, BOSTON, MA, 02124","-71.07089,42.300117",85702271,R
350328,"19 Oakton Avenue, Dorchester, MA, 02122",Match,Exact,"19 OAKTON AVE, DORCHESTER, MA, 02122","-71.0535,42.286724",85715566,R
1630100,"35 Walnut Street, Lynn, MA, 01905",Match,Exact,"35 WALNUT ST, LYNN, MA, 01905","-70.966354,42.468777",86638339,R
2810010,"426 Armory Street, Springfield, MA, 01104",Match,Exact,"426 ARMORY ST, SPRINGFIELD, MA, 01104","-72.5867,42.120754",4034603,L
4280305,"190 Cummins Highway, Roslindale, MA, 02131",Match,Exact,"190 CUMMINS HWY, ROSLINDALE, MA, 02131","-71.12363,42.282608",85703791,L
440078,"125 Oak Street, Brockton, MA, 02301",Match,Exact,"125 OAK ST, BROCKTON, MA, 02301","-71.03043,42.102753",87482227,R
350054,"1060 Morton Street, Mattapan, MA, 02126",Match,Exact,"1060 MORTON ST, MATTAPAN, MA, 02126","-71.07765,42.27741",85705873,L
1490020,"122 Hancock Street, Lawrence, MA, 01841",Match,Exact,"122 HANCOCK ST, LAWRENCE, MA, 01841","-71.1769,42.69741",86626080,L
1490022,"80 Bodwell Street, Lawrence, MA, 01841",Match,Exact,"80 BODWELL ST, LAWRENCE, MA, 01841","-71.17502,42.700916",86625328,L
1490025,"80 Bodwell St, Lawrence, MA, 01841",Match,Exact,"80 BODWELL ST, LAWRENCE, MA, 01841","-71.17502,42.700916",86625328,L
4520505,"360 Huntington Avenue, Boston, MA, 02115",Match,Exact,"360 HUNTINGTON AVE, BOSTON, MA, 02115","-71.08976,42.339897",85734647,R
350264,"343 Saratoga Street, East Boston, MA, 02128",Match,Exact,"343 SARATOGA ST, EAST BOSTON, MA, 02128","-71.031,42.37861",85722197,R
1490027,"255 East Haverhill Street, Lawrence, MA, 01841",Match,Exact,"255 E HAVERHILL ST, LAWRENCE, MA, 01841","-71.144775,42.71824",86681898,R
350268,"325 Mt Vernon Street, Dorchester, MA, 02125",Match,Exact,"325 MOUNT VERNON ST, DORCHESTER, MA, 02125","-71.04542,42.318897",85724720,R
1630050,"49 Hollingsworth St, Lynn, MA, 01902",Match,Exact,"49 HOLLINGSWORTH ST, LYNN, MA, 01902","-70.94686,42.47088",86645217,R
2810110,"31 Kensington Avenue, Springfield, MA, 01108",Match,Exact,"31 KENSINGTON AVE, SPRINGFIELD, MA, 01108","-72.56171,42.091522",4036314,R
4170205,"2 McLellan Street, Dorchester, MA, 02121",Match,Exact,"2 MCLELLAN ST, DORCHESTER, MA, 02121","-71.08564,42.30119",85725678,L
4860105,"51 Gage Street, Worcester, MA, 01605",Match,Exact,"51 GAGE ST, WORCESTER, MA, 01605","-71.78909,42.265663",40010820,L
1370030,"1916 Northampton Street, Holyoke, MA, 01040",Match,Exact,"1916 NORTHAMPTON ST, HOLYOKE, MA, 01040","-72.63068,42.196697",4057154,L
3480030,"93 Woodland Street, Worcester, MA, 01610",Match,Exact,"93 WOODLAND ST, WORCESTER, MA, 01610","-71.81875,42.254776",40009735,L
2810530,"1250 State Street, Springfield, MA, 01109",Match,Exact,"1250 STATE ST, SPRINGFIELD, MA, 01109","-72.5494,42.116528",4063098,L
350380,"20 Outlook Road, Mattapan, MA, 02126",Match,Exact,"20 OUTLOOK RD, MATTAPAN, MA, 02126","-71.09398,42.28204",85705096,L
350088,"71 Pleasant Street, Dorchester, MA, 02125",Match,Exact,"71 PLEASANT ST, DORCHESTER, MA, 02125","-71.05994,42.31423",85713133,R
350378,"5 Mildred Avenue, Mattapan, MA, 02126",Match,Exact,"5 MILDRED AVE, MATTAPAN, MA, 02126","-71.092026,42.275734",85705265,R
570030,"300 Crescent Avenue, Chelsea, MA, 02150",Match,Exact,"300 CRESCENT AVE, CHELSEA, MA, 02150","-71.02066,42.397854",85707507,L
2810345,"118 Alden Street, Springfield, MA, 01109",Match,Exact,"118 ALDEN ST, SPRINGFIELD, MA, 01109","-72.56305,42.10204",4036192,L
350376,"77 Lawrence Avenue, Dorchester, MA, 02121",Match,Exact,"77 LAWRENCE AVE, DORCHESTER, MA, 02121","-71.07596,42.311443",85701817,R
350525,"60 Washington Street, Dorchester, MA, 02121",Match,Exact,"60 WASHINGTON ST, DORCHESTER, MA, 02121","-71.082146,42.306896",85701557,L
1490075,"59 Alder Street, Lawrence, MA, 01841",Match,Exact,"59 ALDER ST, LAWRENCE, MA, 01841","-71.17068,42.717564",86625175,R
350377,"131 Walnut Avenue, Roxbury, MA, 02119",Match,Exact,"131 WALNUT AVE, ROXBURY, MA, 02119","-71.08559,42.32144",85700478,R
4560050,"206 Jackson Street, Lowell, MA, 01852",Match,Exact,"206 JACKSON ST, LOWELL, MA, 01852","-71.312675,42.641388",86878377,L
1630040,"50 Elm Street, Lynn, MA, 01905",Match,Exact,"50 ELM ST, LYNN, MA, 01905","-70.9631,42.46082",86638463,L
1630045,"21 Dexter Street, Lynn, MA, 01902",Match,Exact,"21 DEXTER ST, LYNN, MA, 01902","-70.93873,42.46499",86645913,R
2810085,"43 Homer Street, Springfield, MA, 01109",Match,Exact,"43 HOMER ST, SPRINGFIELD, MA, 01109","-72.556076,42.113724",636987898,L
350657,"9 Peacevale Road, Dorchester, MA, 02124",Match,Exact,"9 PEACEVALE RD, DORCHESTER, MA, 02124","-71.07667,42.28791",85722137,R
350656,"312 Border Street, East Boston, MA, 02128",Match,Exact,"312 BORDER ST, EAST BOSTON, MA, 02128","-71.03999,42.378098",85709635,L
350183,"155 Talbot Avenue, Dorchester, MA, 02124",Match,Exact,"155 TALBOT AVE, DORCHESTER, MA, 02124","-71.07964,42.292465",639989663,R
1630035,"40 Franklin Street, Lynn, MA, 01902",Match,Exact,"40 FRANKLIN ST, LYNN, MA, 01902","-70.954056,42.46512",635774477,L
3480350,"15 Claremont Street, Worcetser, MA, 01610",Match,Non_Exact,"15 CLAREMONT ST, WORCESTER, MA, 01610","-71.81775,42.2546",637077571,L
350001,"25 Dunbar Avenue, Dorchester, MA, 02124",Match,Exact,"25 DUNBAR AVE, DORCHESTER, MA, 02124","-71.072174,42.286434",85705961,R
350180,"35 Brookford Street, Dorchester, MA, 02125",Match,Exact,"35 BROOKFORD ST, DORCHESTER, MA, 02125","-71.07535,42.318405",85728779,R
4810550,"1415 Hyde Park Ave, Hyde Park, MA, 02136",Match,Exact,"1415 HYDE PARK AVE, HYDE PARK, MA, 02136","-71.126045,42.250435",85704582,R
350080,"122 Cottage Street, East Boston, MA, 02128",Match,Exact,"122 COTTAGE ST, EAST BOSTON, MA, 02128","-71.03436,42.36864",85711551,L
350200,"50 Bunker Hill Street, Charlestown, MA, 02129",Match,Exact,"50 BUNKER HILL ST, CHARLESTOWN, MA, 02129","-71.057045,42.37692",639989172,L
350304,"150 Norfolk Avenue, Roxbury, MA, 02119",Match,Exact,"150 NORFOLK AVE, ROXBURY, MA, 02119","-71.069374,42.325245",85701223,L
350390,"380 Shawmut Avenue, Boston, MA, 02118",Match,Exact,"380 SHAWMUT AVE, BOSTON, MA, 02118","-71.07213,42.341248",85700777,L
350006,"200 Heath Street, Jamaica Plain, MA, 02130",Match,Exact,"200 HEATH ST, JAMAICA PLAIN, MA, 02130","-71.106606,42.326534",85698626,L
1490080,"75 Newton Street, Lawrence, MA, 01843",Match,Exact,"75 NEWTON ST, LAWRENCE, MA, 01843","-71.16592,42.69436",86628527,R
1370025,"596 South Bridge Street, Holyoke, MA, 01040",Match,Exact,"596 S BRIDGE ST, HOLYOKE, MA, 01040","-72.60774,42.196575",4018185,L
350651,"11 Charles St, Dorchester, MA, 02125",Match,Non_Exact,"11 CHARLES ST, DORCHESTER, MA, 02122","-71.06133,42.30061",85722119,R
350008,"108 Babson Street, Mattapan, MA, 02126",Match,Exact,"108 BABSON ST, MATTAPAN, MA, 02126","-71.09213,42.27189",85705280,L
350308,"189 Glenway Street, Dorchester, MA, 02121",Match,Exact,"189 GLENWAY ST, DORCHESTER, MA, 02121","-71.08062,42.296806",85701737,R
350383,"270 Columbia Road, Dorchester, MA, 02121",Match,Exact,"270 COLUMBIA RD, DORCHESTER, MA, 02121","-71.07466,42.308697",85728863,L
440055,"150 Clinton Street, Brockton, MA, 02302",Match,Exact,"150 CLINTON ST, BROCKTON, MA, 02302","-71.013695,42.06664",87444876,L
1490085,"165 Crawford Street, Lawrence, MA, 01843",Match,Exact,"165 CRAWFORD ST, LAWRENCE, MA, 01843","-71.14632,42.693214",86690145,R
4160305,"885 River Street, Hyde Park, MA, 02136",Match,Exact,"885 RIVER ST, HYDE PARK, MA, 02136","-71.10949,42.262005",85705426,R
350515,"240 Medford Street, Charlestown, MA, 02129",Match,Exact,"240 MEDFORD ST, CHARLESTOWN, MA, 02129","-71.061035,42.38055",85709101,L
1490040,"100 Erving Avenue, Lawrence, MA, 01841",Match,Exact,"100 ERVING AVE, LAWRENCE, MA, 01841","-71.16876,42.713863",86625209,L
350179,"315 Mt Vernon Street, Dorchester, MA, 02125",Match,Exact,"315 MOUNT VERNON ST, DORCHESTER, MA, 02125","-71.04567,42.318977",85724720,R
570505,"299 Everett Avenue, Chelsea, MA, 02150",Match,Exact,"299 EVERETT AVE, CHELSEA, MA, 02150","-71.041084,42.40032",85706324,R
4930505,"175 Hawthorne Street, Chelsea, MA, 02150",Match,Exact,"175 HAWTHORNE ST, CHELSEA, MA, 02150","-71.03432,42.392326",85711185,R
1490049,"233 Haverhill Street, Lawrence, MA, 01840",Match,Exact,"233 HAVERHILL ST, LAWRENCE, MA, 01840","-71.16426,42.710114",86627340,R
350286,"885 Washington Street, Boston, MA, 02111",Tie,,,,,
1490048,"183 Haverhill Street, Lawrence, MA, 01840",Match,Exact,"183 HAVERHILL ST, LAWRENCE, MA, 01840","-71.162285,42.710255",86627415,R
4310205,"50 Pleasant Street, Lawrence, MA, 01841",Match,Exact,"50 PLEASANT ST, LAWRENCE, MA, 01841","-71.14404,42.71289",86627884,L
350360,"35 Sunnyside Street, Hyde Park, MA, 02136",Match,Exact,"35 SUNNYSIDE ST, HYDE PARK, MA, 02136","-71.133095,42.25125",85704256,R
1490090,"60 Allen Street, Lawrence, MA, 01841",Match,Non_Exact,"60 ALLEN ST, LAWRENCE, MA, 01840","-71.15259,42.71117",86689868,L
4290010,"90 High Rock Street, Lynn, MA, 01902",Match,Exact,"90 HIGH ROCK ST, LYNN, MA, 01902","-70.949715,42.46885",86645674,L
350154,"154 Ruskindale Road, Mattapan, MA, 02126",No_Match,,,,,
35020405,"2001 Roosevelt Avenue, Springfield, MA, 01104",No_Match,,,,,
350153,"200 Heath Street, Jamaica Plain, MA, 02130",Match,Exact,"200 HEATH ST, JAMAICA PLAIN, MA, 02130","-71.106606,42.326534",85698626,L
2810366,"355 Plainfield Street, Springfield, MA, 01107",No_Match,,,,,
350010,"263 Blue Hill Avenue, Roxbury , MA, 02119",Match,Exact,"263 BLUE HILL AVE, ROXBURY, MA, 02119","-71.078514,42.315186",85701507,R
2810365,"355 Plainfield Street, Springfield, MA, 01107",No_Match,,,,,
350015,"160 Harrishof Street, Roxbury, MA, 02119",Match,Exact,"160 HARRISHOF ST, ROXBURY, MA, 02119","-71.09137,42.31762",85699292,L
570040,"300 Crescent Avenue, Chelsea, MA, 02150",Match,Exact,"300 CRESCENT AVE, CHELSEA, MA, 02150","-71.02066,42.397854",85707507,L
350013,"40 Armington Street, Allston, MA, 02134",Match,Exact,"40 ARMINGTON ST, ALLSTON, MA, 02134","-71.13729,42.35252",85695525,L
4070405,"6 Shirley Street, Boston, MA, 02119",Match,Exact,"6 SHIRLEY ST, BOSTON, MA, 02119","-71.07305,42.323246",85701225,L
350014,"429 Norfolk Street, Dorchester, MA, 02124",Match,Exact,"429 NORFOLK ST, DORCHESTER, MA, 02124","-71.08697,42.281666",85731799,R
350540,"67 Alleghany St, Roxbury, MA, 02120",Match,Exact,"67 ALLEGHANY ST, ROXBURY, MA, 02120","-71.100555,42.331005",639000031,R
1600080,"350 Adams Street, Lowell, MA, 01854",Match,Exact,"350 ADAMS ST, LOWELL, MA, 01854","-71.31922,42.646194",86932748,L
350542,"655 Metropolitan Ave, Hyde Park, MA, 02136",No_Match,,,,,
4630205,"37 Babson Street, Mattapan, MA, 02126",Match,Exact,"37 BABSON ST, MATTAPAN, MA, 02126","-71.09231,42.275295",85705261,R
350541,"612 Metropolitan Av, Hyde Park, MA, 02136",Match,Exact,"612 METROPOLITAN AVE, HYDE PARK, MA, 02136","-71.1181,42.265385",85704454,L
1490536,"233 Haverhill Street, Lawrence, MA, 01840",Match,Exact,"233 HAVERHILL ST, LAWRENCE, MA, 01840","-71.16426,42.710114",86627340,R
570035,"300 Crescent Avenue, Chelsea, MA, 02150",Match,Exact,"300 CRESCENT AVE, CHELSEA, MA, 02150","-71.02066,42.397854",85707507,L
350543,"80 School St, Roxbury, MA, 02119",Match,Exact,"80 SCHOOL ST, ROXBURY, MA, 02119","-71.099045,42.314255",633012720,L
350445,"105 Cummins Highway, Roslindale, MA, 02131",Match,Exact,"105 CUMMINS HWY, ROSLINDALE, MA, 02131","-71.12455,42.28395",85703782,R
350548,"20 Church St, Back Bay, MA, 02116",Match,Non_Exact,"20 CHURCH ST, BOSTON, MA, 02116","-71.06803,42.348755",85698246,L
350549,"20 Child Street, Boston, MA, 02130",Match,Exact,"20 CHILD ST, BOSTON, MA, 02130","-71.11445,42.306736",85722256,L
350167,"85 Olney Street, Dorchester, MA, 02121",Match,Exact,"85 OLNEY ST, DORCHESTER, MA, 02121","-71.073296,42.305355",85701926,R
350370,"135 Humboldt Avenue, Dorchester, MA, 02121",Match,Exact,"135 HUMBOLDT AVE, DORCHESTER, MA, 02121","-71.087425,42.315735",85701366,R
350166,"7 Bolster Street, Jamaica Plain, MA, 02130",Match,Exact,"7 BOLSTER ST, JAMAICA PLAIN, MA, 02130","-71.10617,42.321957",85698723,R
2810355,"36 Margaret Street, Springfield, MA, 01105",Match,Exact,"36 MARGARET ST, SPRINGFIELD, MA, 01105","-72.58347,42.09677",4052054,R
570050,"8 Clark Avenue, Chelsea, MA, 02150",Match,Exact,"8 CLARK AVE, CHELSEA, MA, 02150","-71.03032,42.395836",85707249,L
570045,"180 Walnut Street, Chelsea, MA, 02150",Match,Exact,"180 WALNUT ST, CHELSEA, MA, 02150","-71.036835,42.393448",85707081,L
1630005,"58 Blossom Street, Lynn, MA, 01902",Match,Exact,"58 BLOSSOM ST, LYNN, MA, 01902","-70.9554,42.462395",640674518,L
350366,"750 Columbia Road, Dorchester, MA, 02125",Match,Exact,"750 COLUMBIA RD, DORCHESTER, MA, 02125","-71.059395,42.32001",85712473,L
350537,"75 Malcolm X Blvd, Roxbury, MA, 02120",No_Match,,,,,
350227,"1 Parish Street, Dorchester, MA, 02122",Match,Exact,"1 PARISH ST, DORCHESTER, MA, 02122","-71.062515,42.307976",85713180,R
350535,"144 McBride Street, Jamaica Plain, MA, 02130",Match,Exact,"144 MCBRIDE ST, JAMAICA PLAIN, MA, 02130","-71.11023,42.306053",85733777,L
350229,"40 Smith St, Roxbury, MA, 02120",No_Match,,,,,
2810055,"55 Catherine Street, Springfield, MA, 01109",Match,Non_Exact,"55 CATHARINE ST, SPRINGFIELD, MA, 01109","-72.56616,42.11375",4035591,R
4110305,"20 Warren St., Brighton, MA, 02135",Match,Exact,"20 WARREN ST, BRIGHTON, MA, 02135","-71.14486,42.349823",645437635,L
350430,"28 Walker Street, Charlestown, MA, 02129",Match,Exact,"28 WALKER ST, CHARLESTOWN, MA, 02129","-71.06669,42.37933",85697343,L
1490540,"15 Union Street, Lawrence, MA, 01841",Match,Non_Exact,"15 UNION ST, LAWRENCE, MA, 01840","-71.1534,42.706383",86627827,R
2810570,"Dickenson Bldg, 37 Alderman Street, Springfield, MA, 01108",No_Match,,,,,
4530005,"2200 Northampton St, Holyoke, MA, 01040",Match,Exact,"2200 NORTHAMPTON ST, HOLYOKE, MA, 01040","-72.63003,42.187336",4076964,R
350135,"40 Gordon Avenue, Hyde Park, MA, 02136",Match,Exact,"40 GORDON AVE, HYDE PARK, MA, 02136","-71.12682,42.257145",85704390,L
4260205,"50 Pleasant Street, Lawrence, MA, 01841",Match,Exact,"50 PLEASANT ST, LAWRENCE, MA, 01841","-71.14404,42.71289",86627884,L
350138,"40 School Street, Dorchester, MA, 02124",Match,Exact,"40 SCHOOL ST, DORCHESTER, MA, 02124","-71.07532,42.29686",85702174,L
1370070,"156 Cabot Street, Holyoke, MA, 01040",Match,Exact,"156 CABOT ST, HOLYOKE, MA, 01040","-72.61374,42.203648",4017693,L
2810185,"141 Washington Street, Springfield, MA, 01108",Match,Exact,"141 WASHINGTON ST, SPRINGFIELD, MA, 01108","-72.5505,42.082954",4038459,R
350565,"152 Arlington Street, Boston, MA, 02116",Match,Exact,"152 ARLINGTON ST, BOSTON, MA, 02116","-71.06931,42.34841",85728275,L
570055,"180 Walnut Street, Chelsea, MA, 02150",Match,Exact,"180 WALNUT ST, CHELSEA, MA, 02150","-71.036835,42.393448",85707081,L
2810045,"670 Union Street, Springfield, MA, 01109",Match,Exact,"670 UNION ST, SPRINGFIELD, MA, 01109","-72.56652,42.108475",4035859,L
350141,"33 Trenton Street, East Boston, MA, 02128",Match,Exact,"33 TRENTON ST, EAST BOSTON, MA, 02128","-71.038155,42.378242",85711364,R
4980405,"370 Pine Street, Springfield, MA, 01105",Match,Exact,"370 PINE ST, SPRINGFIELD, MA, 01105","-72.574425,42.09463",4062972,R
4540205,"34 West Street, Lawrence, MA, 01841",Match,Exact,"34 WEST ST, LAWRENCE, MA, 01841","-71.17547,42.710747",86625244,L
4800405,"215 Dorchester Street, South Boston, MA, 02127",Match,Exact,"215 DORCHESTER ST, SOUTH BOSTON, MA, 02127","-71.05181,42.33234",85712808,R
35080505,"65 Lincoln Street, Springfield, MA, 01105",Match,Non_Exact,"65 LINCOLN ST, SPRINGFIELD, MA, 01109","-72.57685,42.11094",4035197,R
35040505,"2179 Washington Street, Roxbury , MA, 02119",Match,Exact,"2179 WASHINGTON ST, ROXBURY, MA, 02119","-71.08254,42.331234",635345979,R
350691,"61 School Street, Roxbury, MA, 02119",Match,Exact,"61 SCHOOL ST, ROXBURY, MA, 02119","-71.09838,42.313847",85699883,R
4370505,"58 Circuit Street, Roxbury, MA, 02119",Match,Exact,"58 CIRCUIT ST, ROXBURY, MA, 02119","-71.08685,42.323906",85700408,L
350052,"15 Basile Street, Roslindale, MA, 02131",Match,Exact,"15 BASILE ST, ROSLINDALE, MA, 02131","-71.12708,42.286915",85703711,L
1490009,"150 Arlington Street, Lawrence, MA, 01841",Match,Exact,"150 ARLINGTON ST, LAWRENCE, MA, 01841","-71.175285,42.717445",86625030,L
1490002,"41 Lexington Street, Lawrence, MA, 01841",Match,Exact,"41 LEXINGTON ST, LAWRENCE, MA, 01841","-71.16517,42.71723",86627065,R
1490003,"114 Osgood Street, Lawrence, MA, 01843",Match,Exact,"114 OSGOOD ST, LAWRENCE, MA, 01843","-71.14868,42.69614",86628959,L
350243,"51 Cedar Street, Roxbury, MA, 02119",Match,Exact,"51 CEDAR ST, ROXBURY, MA, 02119","-71.091194,42.32519",85699223,R
1490004,"165 Crawford Street, Lawrence, MA, 01843",Match,Exact,"165 CRAWFORD ST, LAWRENCE, MA, 01843","-71.14632,42.693214",86690145,R
4190305,"23 Leonard Street, Boston, MA, 02122",Match,Exact,"23 LEONARD ST, BOSTON, MA, 02122","-71.0589,42.301426",85713511,R
4240505,"20 Kearsarge Ave, Roxbury, MA, 02119",Match,Exact,"20 KEARSARGE AVE, ROXBURY, MA, 02119","-71.0826,42.32746",85700523,L
350558,"655 Metropolitan Ave, Hyde Park, MA, 02136",No_Match,,,,,
2810030,"433 Walnut Street, Springfield, MA, 01105",Match,Exact,"433 WALNUT ST, SPRINGFIELD, MA, 01105","-72.56421,42.098984",4036035,L
